MachineID,Date,Failure,RepairType,DowntimeHours
11,01/15/2025,Y,Major,12.94
10,2025-01-12,Y,Major,0.28
44,02/07/2025,Y,Major,5.33
84,01/11/2025,N,Major,3.81
31,2025-01-06,Y,Major,0.29
94,2025-01-15,Y,Minor,14.27
67,2025-01-03,Y,Minor,0.52
6,01/08/2025,Y,Major,2.22
58,2025-01-25,Y,Minor,22.92
29,2025-01-20,N,Major,0.08
3,2025-02-21,Y,Minor,20.69
87,2025-02-18,Y,Minor,1.37
26,2025-01-12,Y,Major,1.17
17,01/25/2025,Y,Minor,0.0
82,2025-03-05,Y,Minor,1.06
56,2025-02-06,Y,Minor,1.09
15,06/22/2025,N,Major,0.44
35,2025-01-14,Y,Major,0.78
19,2025-01-02,Y,Major,1.12
35,2025-01-27,N,Major,3.2
9,2025-01-22,Y,Major,3.98
21,01/03/2025,Y,Major,3.15
35,01/28/2025,Y,Major,14.08
72,2025-01-15,Y,Minor,3.58
91,2025-01-17,Y,Minor,2.8
89,02/21/2025,Y,Minor,17.97
64,2025-01-29,N,Major,0.12
10,2025-01-21,Y,Major,3.87
15,2025-01-07,Y,Major,1.11
11,2025-01-06,Y,Major,0.7
73,2025-01-06,Y,Minor,5.39
49,2025-01-16,Y,Minor,7.62
17,2025-03-07,N,Major,2.97
14,01/04/2025,Y,Minor,19.37
91,01/07/2025,N,Minor,6.26
32,2025-01-01,N,Major,0.55
71,2025-02-03,N,Minor,6.2
84,2025-01-03,Y,Minor,3.68
4,2025-01-05,N,Major,0.22
91,2025-02-08,Y,Major,10.43
20,2025-01-13,N,Minor,8.99
29,01/06/2025,N,Major,0.09
7,2025-06-15,Y,Minor,4.91
40,2025-02-24,Y,Major,1.89
5,2025-01-13,N,Minor,7.41
45,01/06/2025,N,Minor,1.34
52,2025-02-25,N,Major,3.42
72,02/20/2025,Y,Major,1.42
81,2025-01-16,Y,Major,1.38
73,2025-05-04,Y,Major,1.06
1,2025-01-05,N,Minor,9.92
90,2025-01-16,Y,Major,0.54
30,2025-02-14,N,Minor,7.69
51,2025-03-05,N,Minor,1.86
32,2025-01-15,N,Major,13.05
74,03/25/2025,N,Minor,1.18
82,2025-02-20,Y,Major,2.67
9,2025-01-03,Y,Minor,0.63
84,2025-01-07,N,Minor,3.9
95,2025-01-31,Y,Major,7.12
91,01/15/2025,N,Major,1.75
58,2025-04-28,N,Major,14.77
78,2025-01-15,Y,Major,2.85
22,2025-01-12,Y,Minor,5.69
34,2025-03-02,Y,Minor,4.01
53,2025-01-01,Y,Major,12.58
9,2025-06-28,Y,Major,3.04
78,2025-01-30,N,Minor,1.77
59,2025-02-02,Y,Major,12.44
79,2025-01-08,Y,Major,4.87
34,2025-01-16,Y,Major,1.2
72,01/13/2025,N,Minor,8.6
32,2025-01-07,N,Minor,3.58
39,01/11/2025,Y,Major,7.06
44,2025-01-04,Y,Minor,16.55
62,2025-02-14,Y,,16.87
31,02/03/2025,N,Major,5.25
44,2025-01-16,N,,3.25
73,02/27/2025,N,Major,2.2
27,01/03/2025,Y,,4.88
5,2025-02-03,N,Major,7.85
28,02/08/2025,N,Major,7.26
97,2025-01-15,Y,Major,0.34
36,03/23/2025,Y,Minor,4.19
93,01/03/2025,N,Major,2.78
48,2025-01-03,Y,Minor,3.15
61,2025-03-12,Y,Minor,0.01
14,2025-02-01,Y,Minor,13.8
98,2025-01-10,N,Minor,2.27
28,2025-01-03,N,Minor,5.0
50,2025-01-11,Y,Major,12.63
34,01/01/2025,Y,Major,3.2
89,2025-01-19,Y,,7.68
20,2025-03-21,Y,Minor,9.44
96,2025-01-01,Y,Major,3.4
80,2025-01-09,N,Minor,1.09
47,2025-01-24,N,Minor,0.11
90,2025-01-17,N,Minor,4.6
52,02/11/2025,N,Minor,7.91
4,2025-01-05,Y,Major,0.99
70,2025-01-01,N,Minor,8.44
29,2025-02-16,Y,Minor,4.3
49,01/07/2025,Y,Major,0.33
24,2025-01-31,Y,Major,8.02
19,03/10/2025,N,Minor,22.97
98,01/30/2025,Y,Major,7.51
19,02/04/2025,N,Minor,1.38
8,2025-01-07,N,Minor,1.69
16,2025-01-01,Y,Major,1.48
26,2025-02-11,N,Minor,9.67
62,2025-01-06,Y,Major,10.55
51,01/15/2025,N,Minor,3.46
74,01/04/2025,N,Major,7.71
28,2025-01-02,Y,Minor,23.6
8,2025-02-23,N,Major,1.16
10,2025-02-03,N,Minor,0.58
6,01/04/2025,N,Minor,6.22
81,2025-01-05,Y,Minor,4.21
69,2025-01-20,N,Minor,0.74
16,2025-01-20,N,Minor,0.28
6,01/15/2025,Y,Minor,1.78
22,02/27/2025,Y,Minor,0.94
75,2025-01-06,Y,Minor,4.39
8,2025-01-20,Y,Minor,2.18
5,2025-01-07,Y,Major,2.82
31,2025-03-02,Y,Minor,9.22
99,2025-01-10,N,Major,20.02
23,01/31/2025,N,Major,0.57
5,2025-01-03,Y,Minor,2.47
10,2025-03-26,N,Minor,2.0
76,2025-01-17,Y,Major,2.12
40,2025-02-21,Y,Minor,0.3
50,2025-01-11,N,Minor,8.94
93,2025-02-20,Y,Minor,2.23
13,2025-01-15,N,Major,6.07
64,2025-02-08,N,Major,0.89
9,2025-01-11,N,Major,2.77
48,2025-01-27,Y,Major,0.73
23,2025-01-16,N,Major,1.21
84,2025-01-29,Y,Major,4.3
27,2025-03-18,Y,Major,0.37
57,2025-01-05,Y,Major,3.22
71,2025-01-22,N,Major,13.44
49,2025-02-23,Y,Major,0.46
50,2025-01-10,N,Major,9.64
33,02/03/2025,Y,Minor,12.3
91,2025-01-16,N,Minor,6.45
5,03/11/2025,Y,Minor,1.4
46,2025-01-09,Y,Minor,4.9
23,01/28/2025,Y,Minor,6.83
87,2025-01-19,N,,0.47
28,2025-05-06,N,Major,3.72
75,2025-03-05,Y,Minor,0.65
73,2025-01-05,Y,Minor,0.44
25,2025-03-20,Y,Major,6.02
95,2025-01-12,Y,Minor,9.66
91,2025-08-30,Y,,7.67
89,2025-01-12,Y,Major,1.34
60,02/01/2025,Y,Major,0.43
17,2025-01-26,N,Minor,3.16
48,01/17/2025,N,Major,3.8
73,2025-02-13,N,Major,4.17
75,2025-01-18,Y,Major,2.68
40,2025-01-23,N,Major,1.44
41,2025-01-06,Y,Major,7.27
11,2025-01-05,N,Major,0.04
11,2025-02-20,Y,Minor,1.76
84,2025-01-01,Y,Minor,6.34
12,2025-02-20,N,Major,7.28
70,2025-01-02,Y,Minor,1.79
44,03/01/2025,N,Major,0.47
56,2025-02-19,Y,Major,11.67
96,2025-01-23,N,Minor,0.51
100,01/14/2025,N,Major,5.1
5,03/17/2025,Y,Minor,0.01
88,01/07/2025,Y,Minor,9.93
87,2025-01-22,N,Major,0.73
23,2025-01-05,Y,Major,0.73
47,2025-01-12,Y,Minor,4.65
36,2025-01-05,N,Major,18.98
28,2025-02-27,N,Major,1.97
13,2025-03-10,N,Major,6.12
4,2025-01-19,Y,Minor,1.18
60,2025-03-13,Y,Minor,2.2
8,2025-01-10,Y,Major,5.11
46,01/07/2025,N,,4.54
43,2025-04-13,Y,Minor,0.71
78,2025-01-03,N,Minor,10.61
45,01/18/2025,Y,Minor,11.05
47,2025-01-11,N,Major,3.94
74,01/12/2025,N,Minor,1.57
21,2025-01-18,N,Minor,6.08
44,2025-01-10,Y,Major,3.89
75,02/13/2025,Y,Major,3.54
5,2025-02-07,Y,Minor,5.5
34,2025-01-14,N,Minor,0.52
72,2025-01-05,Y,Major,1.74
37,2025-01-06,Y,Major,3.79
28,2025-01-13,Y,Major,1.35
98,2025-01-31,Y,Major,0.32
53,2025-01-25,Y,Major,1.12
13,2025-01-17,Y,Major,3.09
8,02/28/2025,Y,Major,0.97
46,2025-01-17,N,Major,1.95
100,2025-01-01,N,Major,5.86
58,2025-01-16,Y,Minor,1.39
25,2025-02-06,N,,0.41
56,2025-01-13,Y,Minor,1.8
79,2025-01-16,Y,Minor,6.3
100,2025-02-09,N,Minor,2.78
94,2025-01-31,Y,Major,0.19
88,2025-01-06,Y,Minor,4.93
73,2025-01-10,Y,,10.58
23,2025-01-26,Y,Minor,2.6
11,2025-02-03,Y,Major,0.18
37,2025-03-15,Y,Minor,6.63
60,2025-03-11,Y,Minor,1.36
100,2025-01-03,N,Minor,8.46
52,2025-04-28,N,Major,2.93
85,01/13/2025,N,Minor,11.08
12,2025-01-09,N,Major,9.4
58,03/05/2025,Y,Minor,11.14
86,2025-02-03,Y,Major,7.74
97,01/20/2025,Y,Minor,0.44
33,2025-05-07,N,Major,0.4
66,01/15/2025,N,Minor,7.67
88,2025-02-11,N,Minor,4.15
99,2025-01-30,Y,Minor,0.41
97,01/13/2025,Y,Minor,0.12
27,2025-01-28,N,Major,1.73
34,2025-04-08,N,Major,1.15
46,2025-01-08,Y,Minor,2.19
23,2025-02-11,N,Major,2.04
66,2025-01-13,Y,Major,8.6
19,2025-01-18,Y,Major,10.06
61,03/01/2025,Y,Major,0.8
24,2025-01-24,N,Minor,1.28
73,2025-02-18,N,Minor,3.67
78,01/13/2025,N,,6.26
66,2025-01-05,N,Major,5.05
97,2025-01-19,Y,Major,9.2
54,2025-01-04,Y,,6.22
96,2025-01-22,N,Major,7.78
15,2025-01-31,Y,Major,1.91
22,2025-03-21,N,Major,5.76
94,2025-02-10,Y,Minor,6.92
14,2025-01-08,N,Minor,2.5
32,2025-03-06,Y,Major,1.63
96,2025-01-02,N,Minor,1.37
7,01/11/2025,Y,Major,4.39
53,02/22/2025,Y,Major,5.39
74,2025-02-09,N,Minor,1.83
34,01/16/2025,Y,,5.23
54,2025-01-16,Y,Minor,0.63
99,01/15/2025,Y,Major,3.8
74,2025-01-09,N,Minor,1.92
73,01/16/2025,Y,Major,8.08
23,2025-01-18,Y,Minor,3.38
72,01/26/2025,Y,Minor,9.85
16,01/09/2025,Y,,5.59
30,01/16/2025,N,Minor,6.41
57,2025-01-06,N,Major,0.3
36,01/07/2025,Y,Major,7.97
72,2025-01-22,N,Minor,4.58
62,01/12/2025,N,Major,0.78
74,2025-02-12,Y,Minor,14.57
90,2025-01-26,N,Major,10.34
39,2025-01-15,Y,Major,0.64
32,2025-01-22,Y,Major,3.99
34,01/01/2025,Y,Major,3.06
18,01/11/2025,Y,Minor,6.66
74,2025-03-14,N,Major,1.7
79,2025-01-28,Y,Minor,3.05
5,01/31/2025,Y,Major,0.45
16,2025-01-10,Y,Minor,10.82
87,2025-01-05,Y,Major,2.9
46,2025-02-20,Y,,2.35
62,2025-01-31,Y,Major,3.65
94,2025-01-28,N,Minor,3.51
88,2025-01-05,Y,Minor,8.47
38,2025-01-12,Y,Minor,5.27
93,2025-01-30,Y,Major,2.81
35,02/02/2025,N,Major,1.01
48,01/12/2025,Y,Major,6.07
57,2025-01-04,Y,Major,3.25
10,02/26/2025,N,Minor,1.9
20,2025-02-19,Y,Major,4.47
95,2025-01-03,Y,Minor,7.16
75,2025-03-12,Y,Major,0.43
37,2025-01-10,N,Major,3.71
82,2025-01-29,Y,Minor,11.37
64,02/25/2025,Y,Minor,1.97
56,2025-01-08,Y,,11.25
50,2025-01-21,Y,Minor,7.41
70,01/21/2025,Y,Major,3.49
36,2025-03-12,Y,Minor,9.22
52,2025-02-09,N,Major,2.01
34,01/04/2025,Y,Major,1.36
96,2025-01-29,N,Minor,0.73
21,2025-01-20,N,Minor,3.89
70,01/09/2025,Y,Minor,9.2
28,05/10/2025,Y,Major,11.99
23,2025-01-07,Y,,2.72
80,03/02/2025,N,Major,15.05
34,2025-01-01,N,Minor,1.41
33,05/04/2025,Y,Minor,8.79
90,01/22/2025,Y,Major,6.89
38,2025-01-31,N,Major,7.39
33,2025-01-01,N,Major,3.61
43,2025-01-28,Y,Minor,5.42
88,2025-01-12,N,Major,5.17
42,2025-01-14,Y,Major,2.63
98,02/09/2025,Y,Major,3.97
35,2025-03-07,N,Major,7.15
15,2025-01-14,N,Major,3.83
39,2025-01-06,N,Minor,9.54
15,02/01/2025,N,Major,8.69
72,2025-01-03,Y,,11.25
37,2025-01-14,Y,Minor,11.75
29,2025-01-17,Y,Minor,0.69
29,2025-02-04,Y,Minor,4.91
81,2025-01-27,N,Major,0.96
4,2025-01-03,N,Minor,6.63
15,2025-01-04,N,Major,6.23
72,2025-01-01,Y,Major,13.5
64,2025-01-10,Y,Minor,12.19
83,2025-01-30,Y,Minor,1.58
17,2025-02-17,N,,0.5
98,2025-01-04,N,Major,0.17
73,2025-02-05,Y,Major,6.38
55,2025-01-22,Y,Minor,1.77
90,2025-03-30,Y,Minor,2.78
36,02/21/2025,Y,Major,21.97
79,2025-04-24,Y,Minor,0.11
9,2025-01-17,Y,Major,6.42
38,01/18/2025,Y,Major,1.24
71,2025-01-02,N,Minor,2.84
96,2025-03-21,Y,Major,8.97
2,2025-01-11,Y,Major,7.95
17,2025-01-26,N,Major,1.13
33,2025-01-16,Y,Major,4.51
74,2025-01-08,Y,Minor,8.55
42,2025-01-03,Y,Minor,4.81
56,2025-01-24,N,Minor,10.94
80,2025-01-25,N,Major,4.13
96,2025-04-06,Y,Major,8.38
48,01/20/2025,N,Major,0.31
17,01/26/2025,Y,Minor,12.32
26,2025-02-05,Y,Major,5.23
50,01/02/2025,N,Minor,11.92
82,2025-01-03,Y,Major,2.26
17,2025-02-04,N,Major,0.47
42,2025-01-16,Y,Major,5.44
86,2025-03-18,Y,Major,6.25
79,2025-01-06,Y,Major,0.04
51,2025-01-22,Y,Major,5.31
47,2025-03-19,N,Major,7.5
95,2025-01-12,Y,Major,4.22
23,2025-04-19,Y,Major,2.64
4,01/02/2025,Y,Minor,15.04
81,2025-02-07,Y,Minor,0.67
97,2025-01-03,N,Minor,19.23
84,2025-01-09,N,Major,10.51
5,2025-01-05,Y,Minor,4.74
15,2025-01-14,Y,Minor,10.29
9,2025-02-04,Y,Minor,8.15
6,2025-01-04,Y,Minor,5.3
56,2025-01-01,N,Major,1.42
71,01/01/2025,N,Major,5.25
90,2025-02-08,N,Minor,4.09
42,2025-01-04,Y,Major,13.34
54,2025-02-27,N,Minor,6.27
35,2025-01-14,N,Minor,7.25
28,01/30/2025,N,Major,0.92
33,2025-01-10,Y,Major,0.15
9,2025-01-12,Y,Major,22.58
46,2025-01-29,N,Minor,3.98
100,2025-01-16,N,Major,1.9
100,2025-01-08,N,Major,10.78
51,2025-01-26,Y,Minor,3.92
74,2025-01-12,N,Major,1.93
19,2025-02-16,Y,Minor,2.81
76,2025-01-29,Y,Minor,1.94
95,2025-01-09,Y,Minor,0.8
49,2025-01-01,N,Major,0.24
77,2025-01-13,N,Major,1.82
92,01/21/2025,N,Major,3.66
47,2025-01-02,Y,Major,1.26
14,2025-01-05,Y,Major,18.44
53,2025-01-21,N,Major,8.31
56,2025-01-04,Y,Minor,8.44
95,2025-04-25,N,Major,2.69
93,01/19/2025,Y,Minor,0.49
14,2025-01-21,Y,Minor,1.5
93,2025-01-07,N,Minor,0.27
18,2025-01-16,Y,Major,3.89
96,2025-01-20,Y,Minor,0.53
93,2025-02-24,N,,18.23
96,2025-01-23,N,Minor,5.26
65,01/09/2025,Y,Minor,0.29
36,02/06/2025,Y,Major,2.67
89,2025-01-11,Y,Minor,4.13
77,01/10/2025,Y,Major,20.5
91,2025-01-01,Y,Minor,2.17
33,01/11/2025,N,Minor,5.69
7,2025-01-16,N,Major,7.73
47,2025-01-07,Y,Major,4.4
2,01/04/2025,Y,Major,4.61
16,2025-01-01,Y,Minor,0.8
79,2025-01-04,Y,Minor,12.17
3,2025-02-05,Y,Major,2.38
82,2025-01-11,N,,4.32
81,2025-04-12,Y,Minor,9.74
35,2025-01-15,Y,Minor,7.44
42,2025-01-16,Y,,2.77
42,03/13/2025,Y,Major,6.9
1,2025-02-07,Y,Major,0.19
11,2025-04-17,Y,Major,1.31
74,02/14/2025,N,Minor,1.94
15,01/10/2025,N,Major,6.86
22,03/08/2025,Y,Major,1.29
79,2025-01-04,Y,Minor,22.25
43,01/04/2025,Y,Major,3.52
85,2025-01-24,Y,Major,3.0
76,2025-01-22,N,Minor,4.38
73,2025-03-02,Y,Minor,5.98
50,2025-01-15,Y,Major,26.17
41,01/16/2025,Y,Major,0.52
41,2025-01-27,N,Minor,0.68
78,2025-01-25,N,Minor,1.6
99,2025-01-22,N,Minor,4.69
13,01/09/2025,Y,Minor,6.55
16,2025-01-07,Y,Major,26.66
70,01/29/2025,Y,Minor,13.49
69,2025-02-08,N,Minor,2.39
16,2025-01-25,Y,Major,4.77
70,2025-01-31,N,Major,0.63
20,01/10/2025,Y,Minor,0.69
62,2025-01-02,Y,,0.14
5,01/29/2025,Y,Major,5.63
78,2025-02-10,Y,Minor,6.52
49,01/21/2025,Y,Major,12.8
64,2025-01-11,N,Minor,1.75
13,2025-01-04,N,Major,4.32
95,2025-02-14,Y,Major,1.26
49,2025-01-14,N,Major,6.4
66,04/06/2025,Y,Minor,1.07
60,2025-02-02,Y,Major,3.37
40,2025-03-09,Y,Major,0.66
58,01/04/2025,Y,Minor,1.32
15,2025-01-04,Y,Minor,7.34
20,2025-01-30,Y,Major,1.03
59,01/12/2025,Y,Major,20.61
39,2025-01-17,Y,Major,0.41
97,03/08/2025,Y,Major,0.75
13,2025-02-01,N,Minor,6.41
77,01/01/2025,N,Minor,7.46
73,02/20/2025,Y,Major,0.58
24,2025-01-17,N,Minor,9.02
6,2025-04-26,Y,Major,6.63
83,01/21/2025,Y,Major,6.39
92,2025-03-15,Y,,8.8
62,2025-01-06,N,Major,1.98
61,2025-03-06,Y,Minor,4.59
66,01/02/2025,N,Major,0.73
8,2025-01-17,Y,Minor,4.1
15,2025-02-06,Y,Minor,13.61
79,2025-01-19,Y,Major,6.68
99,2025-02-08,Y,Minor,4.21
12,2025-01-06,N,Minor,10.5
64,2025-02-12,Y,Minor,9.0
81,2025-01-08,Y,Minor,1.31
83,2025-02-10,Y,Major,0.99
81,2025-01-06,Y,Major,14.69
67,01/14/2025,Y,Major,3.13
58,2025-01-06,Y,Minor,1.18
38,2025-01-22,Y,Major,1.97
90,2025-01-21,N,Minor,8.21
87,2025-01-05,Y,,1.98
81,2025-04-11,N,Major,1.06
10,2025-01-20,Y,Minor,0.51
51,2025-01-19,Y,Minor,6.83
8,2025-04-12,Y,Major,0.59
94,2025-02-10,N,Minor,1.6
30,2025-01-01,N,Minor,1.68
38,2025-03-30,Y,Major,2.63
6,2025-03-04,N,Minor,1.25
53,01/02/2025,N,Minor,4.75
14,01/25/2025,N,Major,1.76
59,02/19/2025,Y,Minor,4.88
27,2025-01-25,Y,Minor,0.15
9,2025-01-04,Y,Minor,1.8
19,2025-01-20,Y,Major,5.43
22,2025-01-04,Y,Minor,2.3
94,2025-01-10,Y,Minor,3.42
79,01/29/2025,N,Major,5.44
34,2025-02-05,N,Major,0.28
88,2025-01-14,Y,Major,2.13
12,2025-02-04,Y,,7.44
76,2025-03-17,N,,5.02
50,01/03/2025,N,Major,4.72
68,2025-01-15,Y,Major,0.63
37,01/04/2025,N,Minor,2.82
86,2025-01-07,N,Minor,2.4
13,01/02/2025,Y,Minor,1.29
29,2025-01-04,Y,Major,3.39
1,2025-02-10,N,Minor,3.98
84,01/29/2025,Y,Major,1.63
88,2025-01-01,N,Minor,17.85
5,2025-01-07,Y,Minor,0.87
29,2025-01-09,Y,Minor,1.58
90,2025-01-06,N,Minor,1.71
15,2025-01-03,N,Minor,2.98
51,2025-02-08,Y,Major,1.62
70,2025-01-08,Y,Minor,2.17
83,2025-01-03,N,Major,2.08
57,01/05/2025,Y,Minor,5.48
39,01/20/2025,N,Minor,10.33
19,2025-01-13,Y,Major,11.67
6,2025-01-19,N,Major,0.16
62,2025-02-12,N,Major,2.14
15,2025-01-29,Y,Minor,6.71
72,2025-03-08,N,Major,1.5
46,2025-01-29,N,Minor,5.46
70,2025-01-04,Y,Minor,3.89
80,2025-01-13,Y,Major,13.5
5,01/02/2025,N,Major,4.61
51,2025-02-13,N,Minor,0.94
18,2025-01-26,Y,Major,21.08
89,01/14/2025,N,Minor,3.87
64,2025-01-26,N,Major,3.77
40,2025-01-28,Y,Major,3.34
74,2025-02-03,Y,Major,11.71
12,2025-01-02,N,Major,0.32
6,2025-03-01,Y,Major,1.92
72,2025-01-18,Y,Minor,3.19
11,01/16/2025,Y,Minor,1.25
2,2025-02-28,Y,Minor,3.24
80,2025-01-12,Y,Major,12.32
44,01/13/2025,Y,,21.16
37,2025-01-16,N,Minor,0.55
58,2025-01-27,N,Minor,3.16
86,01/02/2025,Y,Minor,0.33
23,2025-01-11,Y,Minor,2.65
86,2025-01-30,Y,Major,4.48
27,2025-01-30,N,Major,4.26
46,2025-05-11,Y,Major,2.21
58,2025-02-08,Y,Minor,9.37
72,2025-01-19,Y,Minor,7.38
54,01/18/2025,Y,Major,7.19
38,2025-01-29,Y,Major,7.68
36,2025-01-08,Y,Major,16.16
94,02/16/2025,Y,Minor,10.54
70,2025-02-27,Y,Major,0.48
71,2025-01-04,N,Minor,14.08
59,2025-01-09,N,Minor,2.96
19,2025-01-28,N,Minor,2.13
25,2025-02-24,N,Major,6.29
99,2025-02-07,Y,Minor,11.83
37,03/08/2025,Y,Major,1.05
79,2025-01-12,Y,Major,3.79
17,2025-01-23,Y,Major,4.94
77,02/19/2025,Y,Minor,12.05
10,2025-01-31,N,Major,8.59
78,01/07/2025,N,Minor,3.6
26,2025-05-12,Y,Minor,2.79
78,2025-01-03,N,Minor,8.1
18,2025-01-24,Y,Minor,1.81
3,01/12/2025,Y,Major,1.03
78,02/03/2025,Y,,1.71
28,2025-01-15,Y,Major,1.71
16,02/28/2025,Y,Minor,9.35
94,02/03/2025,N,Minor,7.99
73,2025-01-08,N,Major,15.2
93,2025-01-19,N,Major,2.04
58,2025-02-05,N,Minor,6.72
77,2025-01-03,N,Minor,3.62
71,2025-01-27,Y,Minor,0.26
23,2025-01-14,Y,Major,0.4
39,2025-01-05,N,Major,12.96
41,2025-01-10,N,,3.43
90,02/19/2025,Y,Major,15.89
25,2025-01-06,Y,Minor,9.44
96,2025-03-23,Y,Minor,4.32
13,2025-01-08,Y,Minor,0.45
37,2025-02-02,N,Major,6.16
6,2025-02-05,Y,,12.82
79,2025-03-22,Y,,3.92
38,2025-02-26,Y,Minor,10.49
63,2025-02-24,N,Minor,15.26
73,2025-01-07,Y,Major,5.37
